"Delete invalid Tracks","Deletar Faixa Inválidas"
"Clear Database","Limpar Banco de Dados"
"Update Tracks","Atualizar Faixas"
"Populate Track Database","Popular Banco de Dados"
"Add New Postcode Track","Adicionar Nova Faixa"
"[IgorLudgero] - Correios Integration","[IgorLudgero] - Integração Correios"
"Postcode Tracks","Faixas De CEP"
"Shipping Method Configuration","Configurar método de envio"
"Actions","Ações"
"Delivery Days","Prazo"
"First Postcode","Primeiro CEP"
"Last Postcode","Último CEP"
"Filters","Filtros"
"Correios Shipping Tracks","Faixas de CEP Correios"
"Select All on This Page","Selecionar todos nesta página"
"Deselect All on This Page","Deselecionar todos nesta página"
"Deleted %1 invalid postcode tracks.","Removidas %1 faixas de CEP inválidas."
"The database of postcode tracks was succesfully cleared.","O banco de dados das faixas de CEP foi limpo com sucesso."
"An error occurred when tried to clear the postcode database.","Um erro ocorreu ao tentar limpar o tabela das faixas de CEP."
"Add New Correios Shipping Track","Cadastrar nova faixa de CEP Correios"
"The Postcode Track %s wasn't updated. Check the logs.","A faixa de CEP %s não foi atualizada. Por favor verifique os logs."
"A total of %1 postcode tracks have been deleted.","%1 faixas de CEP foram excluídas."
"The postcode track has been deleted.","A faixa de CEP foi removida."
"Impossible to delete %1 postcode tracks.","Não foi possível remover a(s) %1 faixa(s) de CEP."
"You have to clear the postcode tracks db first!","Você deve limpar a tabela das faixas de CEP antes de popular novamente!"
"Postcode tracks database populated!","Tabela das faixas de CEP populada com sucesso!"
"An error occurred when the populate action was executed. Check the logs to see the cause of error.","Um erro ocorreu ao tentar popular a tabela das faixas de CEP. Por favor verifique os logs para obter maiores informações."
"The field 'Service' can't be empty!","O campo 'Serviço' não pode ser vazio!"
"The field 'First Postcode' can't be empty!","O campo 'Primeiro CEP' não pode ser vazio!"
"The field 'Last Postcode' can't be empty!","O campo 'Último CEP' não pode ser vazio!"
"The field 'Price' can't be empty!","O campo 'Preço' não pode ser vazio!"
"The field 'Weight' can't be empty!","O campo 'Peso' não pode ser vazio!"
"The field 'Delivery Days' can't be empty!","O campo 'Prazo' não pode ser vazio!"
"The field 'Last Update' can't be empty!","O campo 'Última Atualização' não pode ser vazio!"
"Your DB have a postcode track to this postcode track. You can't create more than one postcode track for an one service and same postcode tracks.","A sua tabela de faixas de CEP já possui uma faixa configurada com este serviço e que atende a esta mesma faixa de CEP, você só pode adicionar uma faixa de CEP para o mesmo serviço e que atenda a uma faixa de CEP exclusiva."
"You saved the new postcode track.","Nova faixa de CEP cadastrada com sucesso!"
"Was not possible to save this new postcode track.","Não foi possível cadastrar esta faixa de CEP."
"Something went wrong while saving the new postcode track.","Algo de errado ocorreu ao tentar salvar esta faixa de CEP."
"%1 Successful postcode tracks updated and %2 with error","%1 faixas de CEP atualizadas com sucesso e %2 com erro."
"You don't need to update the database now, the database is updated.","A tabela está atualizada, você não precisa atualizá-la."
"Enabled","Ativo"
"Method Title","Título do método de entrega"
"Posting Methods","Serviços Disponíveis"
"Free Method","Método para entrega grátis"
"Correios Contract Number","Número de contrato"
"Correios Contract Password","Senha do contrato"
"Weight Type","Tipo de Peso no cálculo"
"Use Owner Hands","Mãos Próprias"
"Received Warning","Aviso de Recebimento"
"Use Declared Value","Usar valor declarado"
"Validate Dimensions","Validar Dimensões"
"Default Height","Altura Padrão"
"If not specified will be used 2cm","Se não for especificado será utilizado 2cm"
"Default Width","Largura Padrão"
"If not specified will be used 16cm","Se não for especificado será utilizado 16cm"
"Default Depth","Profundidade Padrão"
"If not specified will be used 11cm","Se não especificado será utilizado 11cm"
"Handling Fee","Taxa de manuseio"
"This value will be increased in the shipping value.","Este valor será incrementado no custo do envio."
"Show Delivery Days","Exibir Prazo de Entrega"
"Add Delivery Days","Incrementar dias ao prazo"
"Add more days in the shipping days expected.","Configure o número de dias a ser adicionado ao prazo de entrega."
"Delivery Days Message","Mensagem do prazo de entrega"
"Free Shipping Message","Mensagem da entrega grátis"
"This message will be add in the free shipping method when applicable.","Esta mensagem será utilizada quando o frete grátis for aplicado."
"Correios WebService Url","Url do webservice dos Correios"
"Default is http://ws.correios.com.br/calculador/CalcPrecoPrazo.aspx?StrRetorno=xml","O padrão é http://ws.correios.com.br/calculador/CalcPrecoPrazo.aspx?StrRetorno=xml"
"Max Weight","Peso Máximo"
"Max Offline Tracks to Update","Número máximo de faixas offline em cada requisição de atualização"
"Here you will define the max number of tracks to be update every time that the update button was clicked.","Aqui você irá configurar o número máximo de faixas de CEP que serão atualizadas ao realizar a primeira atualização dos valores das faixas de CEP."
"Enable logs?","Habilitar logs?"
"Days Period to update (Offline Postcode Tracks)","Intervalo de dias para atualização(Faixas de CEP offline)"
"Set the number of days of interval to update the offline postcode tracks.","Configure o número de dias do intervalor de atualização das faixas de CEP offline."
"Save Track","Cadastrar Faixa de CEP"
"This is a required field.","Campo obrigatório."
"Hybrid","Híbrido"
"Only Offline","Somente Offline"
"Function Mode","Modo de Funcionamento"
"Correios Shipping Track","Correios Faixas de CEP"
"Shipping Method Configuration","Configuração do método de entrega"
"Correios Width","Largura (Correios)"
"Correios Height","Altura (Correios)"
"Correios Depth","Profundidade (Correios)"
"Post Method Codes","Códigos das formas de Entrega"
"Post Methods Configuration","Códigos das formas de Entrega"
"Set the post methods codes according your contract with Correios.","Configure os códigos das formas de entrega utilizados em seu contrato. Estes códigos podem variar de contrato para contrato, por favor verifique com os Correios."
